ss,bs,tu,e,rb,ar,auc_seed_1000,auc_seed_2000,auc_seed_3000,auc_seed_4000,auc_seed_5000,auc_seed_6000,auc_seed_7000,auc_seed_8000,auc_seed_9000,auc_seed_10000,mean_auc,std_auc,min_auc,max_auc,n_seeds,file_name
0.001,128,100,0.1,2000000,3,,,,,,,,,-19724.265724945155,,-19724.265724945155,0.0,-19724.265724945155,0.0,5,car-train_9000_1000000_ss_0.001_bs_128_tu_100_e_0.1_rb_2000000_ar_3
0.001,256,1000,0.01,2000000,3,,-41393.2460580565,,,,,-3117.116780398945,,,,-22255.181419227723,19138.06463882878,-41393.2460580565,19138.06463882878,6,car-train_2000_1000000_ss_0.001_bs_256_tu_1000_e_0.01_rb_2000000_ar_3;car-train_7000_1000000_ss_0.001_bs_256_tu_1000_e_0.01_rb_2000000_ar_3
0.001,256,1000,0.01,1000000,3,,-41393.2460580565,,,,,-3117.116780398945,,,,-22255.181419227723,19138.06463882878,-41393.2460580565,19138.06463882878,6,car-train_2000_1000000_ss_0.001_bs_256_tu_1000_e_0.01_rb_1000000_ar_3;car-train_7000_1000000_ss_0.001_bs_256_tu_1000_e_0.01_rb_1000000_ar_3
0.001,64,500,0.1,2000000,3,,,,-32452.290310915963,,-15144.345448414713,,,,,-23798.317879665337,8653.972431250624,-32452.290310915963,8653.972431250624,6,car-train_4000_1000000_ss_0.001_bs_64_tu_500_e_0.1_rb_2000000_ar_3;car-train_6000_1000000_ss_0.001_bs_64_tu_500_e_0.1_rb_2000000_ar_3
0.001,128,100,0.01,2000000,5,,,,,,,,-23907.990685408204,,,-23907.990685408204,0.0,-23907.990685408204,0.0,5,car-train_8000_1000000_ss_0.001_bs_128_tu_100_e_0.01_rb_2000000_ar_5
0.001,128,100,0.01,1000000,5,,,,,,,,-23907.990685408204,,,-23907.990685408204,0.0,-23907.990685408204,0.0,5,car-train_8000_1000000_ss_0.001_bs_128_tu_100_e_0.01_rb_1000000_ar_5
0.001,256,500,0.01,2000000,3,,,,-26591.536226130433,,-22433.81621883517,,,,,-24512.6762224828,2078.860003647631,-26591.536226130433,2078.860003647631,6,car-train_4000_1000000_ss_0.001_bs_256_tu_500_e_0.01_rb_2000000_ar_3;car-train_6000_1000000_ss_0.001_bs_256_tu_500_e_0.01_rb_2000000_ar_3
0.001,256,500,0.01,1000000,3,,,,-26591.536226130433,,-22433.81621883517,,,,,-24512.6762224828,2078.860003647631,-26591.536226130433,2078.860003647631,6,car-train_4000_1000000_ss_0.001_bs_256_tu_500_e_0.01_rb_1000000_ar_3;car-train_6000_1000000_ss_0.001_bs_256_tu_500_e_0.01_rb_1000000_ar_3
0.001,128,100,0.01,2000000,3,,,,,,-24638.56641227119,,,,,-24638.56641227119,0.0,-24638.56641227119,0.0,5,car-train_6000_1000000_ss_0.001_bs_128_tu_100_e_0.01_rb_2000000_ar_3
0.0001,256,500,0.01,1000000,3,,,,,,,,,,-25523.08480263561,-25523.08480263561,0.0,-25523.08480263561,0.0,5,car-train_10000_1000000_ss_0.0001_bs_256_tu_500_e_0.01_rb_1000000_ar_3
0.0001,256,500,0.01,2000000,3,,,,,,,,,,-25523.08480263561,-25523.08480263561,0.0,-25523.08480263561,0.0,5,car-train_10000_1000000_ss_0.0001_bs_256_tu_500_e_0.01_rb_2000000_ar_3
0.001,64,100,0.1,2000000,3,,,,-15375.697465855892,,,,-35832.73275329141,,,-25604.21510957365,10228.51764371776,-35832.73275329141,10228.51764371776,6,car-train_4000_1000000_ss_0.001_bs_64_tu_100_e_0.1_rb_2000000_ar_3;car-train_8000_1000000_ss_0.001_bs_64_tu_100_e_0.1_rb_2000000_ar_3
0.0001,64,1000,0.1,1000000,5,,,-26230.62083631528,,,,,,,,-26230.62083631528,0.0,-26230.62083631528,0.0,5,car-train_3000_1000000_ss_0.0001_bs_64_tu_1000_e_0.1_rb_1000000_ar_5
0.0001,64,1000,0.1,2000000,5,,,-26230.62083631528,,,,,,,,-26230.62083631528,0.0,-26230.62083631528,0.0,5,car-train_3000_1000000_ss_0.0001_bs_64_tu_1000_e_0.1_rb_2000000_ar_5
0.0001,256,1000,0.1,2000000,7,,-50651.374913074425,,-2811.435566288251,,,,,,,-26731.40523968134,23919.969673393087,-50651.374913074425,23919.969673393087,6,car-train_2000_1000000_ss_0.0001_bs_256_tu_1000_e_0.1_rb_2000000_ar_7;car-train_4000_1000000_ss_0.0001_bs_256_tu_1000_e_0.1_rb_2000000_ar_7
0.0001,256,500,0.1,1000000,3,,,,,,,,,,-30606.28211728684,-30606.28211728684,0.0,-30606.28211728684,0.0,5,car-train_10000_1000000_ss_0.0001_bs_256_tu_500_e_0.1_rb_1000000_ar_3
0.0001,256,500,0.1,2000000,3,,,,,,,,,,-30606.28211728684,-30606.28211728684,0.0,-30606.28211728684,0.0,5,car-train_10000_1000000_ss_0.0001_bs_256_tu_500_e_0.1_rb_2000000_ar_3
